"Rank","Name","Team","POS","SALARY","YEARS","Total_Value"
"","Wayne Simmonds","PHI","RW","$ 2,000,000","1 (2012)","$ 2,000,000"
"","Todd Bertuzzi","DET","RW","$ 1,975,000","1 (2012)","$ 1,975,000"
"","Chad LaRose","CAR","C","$ 1,900,000","1 (2012)","$ 1,900,000"
"","Chris Higgins","VAN","LW","$ 1,900,000","1 (2012)","$ 1,900,000"
"","Artem Anisimov","CBJ","C","$ 1,875,000","1 (2012)","$ 1,875,000"
"","Adam Burish","SJS","RW","$ 1,850,000","1 (2012)","$ 1,850,000"
"","Lauri Korpikoski","ARI","LW","$ 1,850,000","1 (2012)","$ 1,850,000"
"","Steve Sullivan","NJD","LW","$ 1,850,000","1 (2012)","$ 1,850,000"
"","Travis Moen","MTL","LW","$ 1,850,000","1 (2012)","$ 1,850,000"
"","Alexei Ponikarovsky","NJD","LW","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Benoit Pouliot","TBL","LW","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Daniel Winnik","ANA","RW","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Jason Chimera","WSH","LW","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Matt D`Agostini","NJD","LW","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Nikita Nikitin","CBJ","D","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Shane O`Brien","COL","D","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Vernon Fiddler","DAL","LW","$ 1,800,000","1 (2012)","$ 1,800,000"
"","Darren Helm","DET","C","$ 1,750,000","1 (2012)","$ 1,750,000"
"","Max Pacioretty","MTL","LW","$ 1,750,000","1 (2012)","$ 1,750,000"
"","Raffi Torres","SJS","LW","$ 1,750,000","1 (2012)","$ 1,750,000"
"","Ruslan Fedotenko","PHI","LW","$ 1,750,000","1 (2012)","$ 1,750,000"
"","Peter Mueller","FLA","C","$ 1,725,000","1 (2012)","$ 1,725,000"
"","Brian Boyle","NYR","C","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Brian Elliott","STL","G","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Cal Clutterbuck","MIN","RW","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Jamie McBain","CAR","D","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Jonathan Quick","LAK","G","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Jordin Tootoo","DET","RW","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Marcel Goc","FLA","C","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Mark Stuart","WPG","D","$ 1,700,000","1 (2012)","$ 1,700,000"
"","Jamie McGinn","COL","LW","$ 1,650,000","1 (2012)","$ 1,650,000"
"","Anton Stralman","NYR","D","$ 1,600,000","1 (2012)","$ 1,600,000"
"","James Reimer","TOR","G","$ 1,600,000","1 (2012)","$ 1,600,000"
"","Kyle Turris","OTT","C","$ 1,600,000","1 (2012)","$ 1,600,000"
"","Kyle Wellwood","WPG","C","$ 1,600,000","1 (2012)","$ 1,600,000"
"","Matt Hunwick","COL","D","$ 1,600,000","1 (2012)","$ 1,600,000"
"","Mike Rupp","MIN","C","$ 1,600,000","1 (2012)","$ 1,600,000"
"","Mike Santorelli","FLA","C","$ 1,600,000","1 (2012)","$ 1,600,000"
"","Jonathan Bernier","LAK","G","$ 1,525,000","1 (2012)","$ 1,525,000"
"","Andy Sutton","EDM","D","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Antti Miettinen","WPG","RW","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Colin Wilson","NSH","C","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Derek Dorsett","NYR","RW","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Francis Bouillon","MTL","D","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Jay McClement","TOR","C","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Jiri Tlusty","CAR","LW","$ 1,500,000","1 (2012)","$ 1,500,000"
"","John Erskine","WSH","D","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Jonas Gustavsson","DET","G","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Jose Theodore","FLA","G","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Josh Harding","MIN","G","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Mark Fistric","EDM","D","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Matt Carkner","NYI","D","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Pascal Dupuis","PIT","RW","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Ryan Jones","EDM","LW","$ 1,500,000","1 (2012)","$ 1,500,000"
"","Taylor Pyatt","NYR","LW","$ 1,450,000","1 (2012)","$ 1,450,000"
"","Adam McQuaid","BOS","D","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Anders Lindback","TBL","G","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Eric Nystrom","DAL","LW","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Grant Clitsome","WPG","D","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Gregory Campbell","BOS","C","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Jason Demers","SJS","D","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Johan Hedberg","NJD","G","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Justin Abdelkader","DET","LW","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Marty Reasoner","NYI","C","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Tyler Bozak","TOR","C","$ 1,400,000","1 (2012)","$ 1,400,000"
"","Boyd Gordon","ARI","C","$ 1,350,000","1 (2012)","$ 1,350,000"
"","Jannik Hansen","VAN","RW","$ 1,350,000","1 (2012)","$ 1,350,000"
"","Kevin Klein","NSH","D","$ 1,350,000","1 (2012)","$ 1,350,000"
"","Aaron Rome","DAL","D","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Brad Boyes","NYI","C","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Daniel Paille","BOS","LW","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Jason LaBarbera","ARI","G","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Josh Bailey","NYI","C","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Kris Russell","STL","D","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Martin Biron","NYR","G","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Vladimir Sobotka","STL","C","$ 1,300,000","1 (2012)","$ 1,300,000"
"","Karl Alzner","WSH","D","$ 1,270,000","1 (2012)","$ 1,270,000"
"","Carl Gunnarsson","TOR","D","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Chris Mason","NSH","G","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Chuck Kobasew","COL","RW","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Guillaume Latendresse","OTT","LW","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Jamie Langenbrunner","STL","RW","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Jean-Sebastien Giguere","COL","G","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Mathieu Garon","TBL","G","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Matt Cooke","PIT","LW","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Mike Sauer","NYR","D","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Nathan Gerbe","BUF","C","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Patrick Kaleta","BUF","RW","$ 1,250,000","1 (2012)","$ 1,250,000"
"","Andrew Alberts","VAN","D","$ 1,225,000","1 (2012)","$ 1,225,000"
"","Mark Fayne","NJD","D","$ 1,200,000","1 (2012)","$ 1,200,000"
"","Mikkel Boedker","ARI","LW","$ 1,200,000","1 (2012)","$ 1,200,000"
"","Patrick Eaves","DET","RW","$ 1,200,000","1 (2012)","$ 1,200,000"
"","Peter Budaj","MTL","G","$ 1,200,000","1 (2012)","$ 1,200,000"
"","Raphael Diaz","MTL","D","$ 1,200,000","1 (2012)","$ 1,200,000"
"","Sheldon Brookbank","CHI","D","$ 1,200,000","1 (2012)","$ 1,200,000"
"","Cody McLeod","COL","LW","$ 1,150,000","1 (2012)","$ 1,150,000"
"","Lars Eller","MTL","C","$ 1,150,000","1 (2012)","$ 1,150,000"
"","Michal Neuvirth","WSH","G","$ 1,150,000","1 (2012)","$ 1,150,000"
"","Mike Lundin","OTT","D","$ 1,150,000","1 (2012)","$ 1,150,000"
"","Ray Emery","CHI","G","$ 1,150,000","1 (2012)","$ 1,150,000"
"","Darroll Powe","NYR","C","$ 1,100,000","1 (2012)","$ 1,100,000"
"","David Steckel","ANA","C","$ 1,100,000","1 (2012)","$ 1,100,000"
"","John Mitchell","COL","C","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Mike Weaver","FLA","D","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Nick Spaling","NSH","C","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Scott Clemmensen","FLA","G","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Shawn Thornton","BOS","LW","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Tanner Glass","PIT","LW","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Torrey Mitchell","MIN","C","$ 1,100,000","1 (2012)","$ 1,100,000"
"","Theo Peckham","EDM","D","$ 1,075,000","1 (2012)","$ 1,075,000"
"","B.J. Crombeen","TBL","RW","$ 1,050,000","1 (2012)","$ 1,050,000"
"","Jakub Kindl","DET","D","$ 1,050,000","1 (2012)","$ 1,050,000"
"","Arron Asham","NYR","RW","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Brian Lee","TBL","D","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Clayton Stoner","MIN","D","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Colby Armstrong","MTL","RW","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Colton Orr","TOR","RW","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Daniel Alfredsson","OTT","RW","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Derek MacKenzie","CBJ","C","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Jochen Hecht","BUF","LW","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Justin Braun","SJS","D","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Marc-Andre Bergeron","CAR","D","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Mathieu Perreault","WSH","C","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Maxim Lapierre","VAN","C","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Mike Weber","BUF","D","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Scott Hannan","SJS","D","$ 1,000,000","1 (2012)","$ 1,000,000"
"","Viktor Fasth","ANA","G","$ 1,000,000","1 (2012)","$ 1,000,000"
"","David Desharnais","MTL","C","$ 950,000","1 (2012)","$ 950,000"
"","Jared Boll","CBJ","RW","$ 950,000","1 (2012)","$ 950,000"
"","Joey Crabb","WSH","RW","$ 950,000","1 (2012)","$ 950,000"
"","Kurtis Foster","PHI","D","$ 950,000","1 (2012)","$ 950,000"
"","Adam Larsson","NJD","D","$ 925,000","1 (2012)","$ 925,000"
"","Alex Galchenyuk","MTL","C","$ 925,000","1 (2012)","$ 925,000"
"","Brian Flynn","BUF","C","$ 925,000","1 (2012)","$ 925,000"
"","Damien Brunner","DET","RW","$ 925,000","1 (2012)","$ 925,000"
"","Dougie Hamilton","BOS","D","$ 925,000","1 (2012)","$ 925,000"
"","Gabriel Landeskog","COL","LW","$ 925,000","1 (2012)","$ 925,000"
"","George Parros","FLA","RW","$ 925,000","1 (2012)","$ 925,000"
"","J.T. Miller","NYR","C","$ 925,000","1 (2012)","$ 925,000"
"","Jonas Brodin","MIN","D","$ 925,000","1 (2012)","$ 925,000"
"","Jonathan Huberdeau","FLA","C","$ 925,000","1 (2012)","$ 925,000"
"","Justin Schultz","EDM","D","$ 925,000","1 (2012)","$ 925,000"
"","Roman Cervenka","CGY","C","$ 925,000","1 (2012)","$ 925,000"
"","Ryan Nugent-Hopkins","EDM","C","$ 925,000","1 (2012)","$ 925,000"
"","Sean Couturier","PHI","C","$ 925,000","1 (2012)","$ 925,000"
"","Alexander Burmistrov","WPG","C","$ 900,000","1 (2012)","$ 900,000"
"","Beau Bennett","PIT","LW","$ 900,000","1 (2012)","$ 900,000"
"","Brayden Schenn","PHI","C","$ 900,000","1 (2012)","$ 900,000"
"","Brett Clark","MIN","D","$ 900,000","1 (2012)","$ 900,000"
"","Cam Fowler","ANA","D","$ 900,000","1 (2012)","$ 900,000"
"","Chris Kreider","NYR","C","$ 900,000","1 (2012)","$ 900,000"
"","Christopher Tanev","VAN","D","$ 900,000","1 (2012)","$ 900,000"
"","Drew Shore","FLA","C","$ 900,000","1 (2012)","$ 900,000"
"","Emerson Etem","ANA","RW","$ 900,000","1 (2012)","$ 900,000"
"","Erik Gudbranson","FLA","D","$ 900,000","1 (2012)","$ 900,000"
"","Jaden Schwartz","STL","LW","$ 900,000","1 (2012)","$ 900,000"
"","Jakob Silfverberg","OTT","RW","$ 900,000","1 (2012)","$ 900,000"
"","Jeff Skinner","CAR","LW","$ 900,000","1 (2012)","$ 900,000"
"","Jody Shelley","PHI","LW","$ 900,000","1 (2012)","$ 900,000"
"","Jordan Schroeder","VAN","C","$ 900,000","1 (2012)","$ 900,000"
"","Kyle Palmieri","ANA","C","$ 900,000","1 (2012)","$ 900,000"
"","Magnus Paajarvi","EDM","LW","$ 900,000","1 (2012)","$ 900,000"
"","Marcus Johansson","WSH","C","$ 900,000","1 (2012)","$ 900,000"
"","Marcus Kruger","CHI","C","$ 900,000","1 (2012)","$ 900,000"
"","Matt Read","PHI","RW","$ 900,000","1 (2012)","$ 900,000"
"","Michael Leighton","CBJ","G","$ 900,000","1 (2012)","$ 900,000"
"","Oliver Ekman-Larsson","ARI","D","$ 900,000","1 (2012)","$ 900,000"
"","Peter Holland","ANA","C","$ 900,000","1 (2012)","$ 900,000"
"","Philip Larsen","DAL","D","$ 900,000","1 (2012)","$ 900,000"
"","Ryan Johansen","CBJ","C","$ 900,000","1 (2012)","$ 900,000"
"","Sergei Bobrovsky","CBJ","G","$ 900,000","1 (2012)","$ 900,000"
"","Shawn Matthias","FLA","C","$ 900,000","1 (2012)","$ 900,000"
"","Taylor Hall","EDM","LW","$ 900,000","1 (2012)","$ 900,000"
"","Tim Erixon","CBJ","D","$ 900,000","1 (2012)","$ 900,000"
"","Tyler Seguin","BOS","C","$ 900,000","1 (2012)","$ 900,000"
"","Vladimir Tarasenko","STL","RW","$ 900,000","1 (2012)","$ 900,000"
"","Yannick Weber","MTL","D","$ 900,000","1 (2012)","$ 900,000"
"","Zack Kassian","VAN","RW","$ 900,000","1 (2012)","$ 900,000"
"","Alex Killorn","TBL","C","$ 875,000","1 (2012)","$ 875,000"
"","Brendan Smith","DET","D","$ 875,000","1 (2012)","$ 875,000"
"","Colby Robak","FLA","D","$ 875,000","1 (2012)","$ 875,000"
"","Colin Greening","OTT","C","$ 875,000","1 (2012)","$ 875,000"
"","Derek Stepan","NYR","C","$ 875,000","1 (2012)","$ 875,000"
"","Ian Cole","STL","D","$ 875,000","1 (2012)","$ 875,000"
"","Jacob Markstrom","FLA","G","$ 875,000","1 (2012)","$ 875,000"
"","Jake Gardiner","TOR","D","$ 875,000","1 (2012)","$ 875,000"
"","Kevin Shattenkirk","STL","D","$ 875,000","1 (2012)","$ 875,000"
"","Patrick Wiercioch","OTT","D","$ 875,000","1 (2012)","$ 875,000"
"","Roman Josi","NSH","D","$ 875,000","1 (2012)","$ 875,000"
"","Ryan McDonagh","NYR","D","$ 875,000","1 (2012)","$ 875,000"
"","Teemu Hartikainen","EDM","C","$ 875,000","1 (2012)","$ 875,000"
"","Travis Hamonic","NYI","D","$ 875,000","1 (2012)","$ 875,000"
"","Chris Thorburn","WPG","RW","$ 850,000","1 (2012)","$ 850,000"
"","Drew Miller","DET","LW","$ 850,000","1 (2012)","$ 850,000"
"","Leo Komarov","TOR","C","$ 850,000","1 (2012)","$ 850,000"
"","Matt Beleskey","ANA","LW","$ 850,000","1 (2012)","$ 850,000"
"","Matt Frattin","TOR","RW","$ 850,000","1 (2012)","$ 850,000"
"","Nate Thompson","TBL","C","$ 850,000","1 (2012)","$ 850,000"
"","Viktor Stalberg","CHI","LW","$ 850,000","1 (2012)","$ 850,000"
"","Zenon Konopka","MIN","C","$ 850,000","1 (2012)","$ 850,000"
"","Justin Faulk","CAR","D","$ 840,000","1 (2012)","$ 840,000"
"","Stefan Elliott","COL","D","$ 840,000","1 (2012)","$ 840,000"
"","Cam Atkinson","CBJ","RW","$ 837,500","1 (2012)","$ 837,500"
"","Gustav Nyquist","DET","C","$ 837,500","1 (2012)","$ 837,500"
"","Bruno Gervais","PHI","D","$ 825,000","1 (2012)","$ 825,000"
"","Colin Fraser","LAK","C","$ 825,000","1 (2012)","$ 825,000"
"","Jack Skille","FLA","RW","$ 825,000","1 (2012)","$ 825,000"
"","James Sheppard","SJS","C","$ 825,000","1 (2012)","$ 825,000"
"","Justin Falk","MIN","D","$ 825,000","1 (2012)","$ 825,000"
"","Lennart Petrell","EDM","RW","$ 825,000","1 (2012)","$ 825,000"
"","Matt Halischuk","NSH","RW","$ 825,000","1 (2012)","$ 825,000"
"","Cory Conacher","OTT","LW","$ 817,500","1 (2012)","$ 817,500"
"","John Moore","NYR","D","$ 810,000","1 (2012)","$ 810,000"
"","John Moore","CBJ","D","$ 810,000","1 (2012)","$ 810,000"
"","Nazem Kadri","TOR","C","$ 810,000","1 (2012)","$ 810,000"
"","Ryan Ellis","NSH","D","$ 810,000","1 (2012)","$ 810,000"
"","Simon Despres","PIT","D","$ 810,000","1 (2012)","$ 810,000"
"","Anton Khudobin","BOS","G","$ 800,000","1 (2012)","$ 800,000"
"","Daniel Carcillo","CHI","LW","$ 800,000","1 (2012)","$ 800,000"
"","Jerred Smithson","FLA","C","$ 800,000","1 (2012)","$ 800,000"
"","Kyle Clifford","LAK","LW","$ 800,000","1 (2012)","$ 800,000"
"","Matt Hendricks","WSH","C","$ 800,000","1 (2012)","$ 800,000"
"","Nick Leddy","CHI","D","$ 800,000","1 (2012)","$ 800,000"
"","Peter Regin","OTT","C","$ 800,000","1 (2012)","$ 800,000"
"","Tim Brent","CAR","C","$ 800,000","1 (2012)","$ 800,000"
"","Wade Redden","BOS","D","$ 800,000","1 (2012)","$ 800,000"
"","Casey Cizikas","NYI","C","$ 790,000","1 (2012)","$ 790,000"
"","Alex Pietrangelo","STL","D","$ 787,500","1 (2012)","$ 787,500"
"","Cody Hodgson","BUF","C","$ 787,500","1 (2012)","$ 787,500"
"","Jake Allen","STL","G","$ 787,500","1 (2012)","$ 787,500"
"","Jordan Eberle","EDM","RW","$ 787,500","1 (2012)","$ 787,500"
"","Slava Voynov","LAK","D","$ 787,500","1 (2012)","$ 787,500"
"","Steve Bernier","NJD","RW","$ 775,000","1 (2012)","$ 775,000"
"","Zack Smith","OTT","C","$ 775,000","1 (2012)","$ 775,000"
"","Brandon Yip","NSH","RW","$ 750,000","1 (2012)","$ 750,000"
"","Corey Potter","EDM","D","$ 750,000","1 (2012)","$ 750,000"
"","Dwight King","LAK","LW","$ 750,000","1 (2012)","$ 750,000"
"","Jay Harrison","CAR","D","$ 750,000","1 (2012)","$ 750,000"
"","Kent Huskins","PHI","D","$ 750,000","1 (2012)","$ 750,000"
"","Krys Barch","NJD","LW","$ 750,000","1 (2012)","$ 750,000"
"","Mike Knuble","PHI","RW","$ 750,000","1 (2012)","$ 750,000"
"","Ryan Carter","NJD","C","$ 750,000","1 (2012)","$ 750,000"
"","Steve Eminger","NYR","D","$ 750,000","1 (2012)","$ 750,000"
"","Craig Smith","NSH","C","$ 740,000","1 (2012)","$ 740,000"
"","Nate Prosser","MIN","D","$ 740,000","1 (2012)","$ 740,000"
"","Richard Panik","TBL","RW","$ 740,000","1 (2012)","$ 740,000"
"","Matt Calvert","CBJ","LW","$ 737,500","1 (2012)","$ 737,500"
"","Zach Redmond","WPG","D","$ 737,500","1 (2012)","$ 737,500"
"","Eric Tangradi","WPG","LW","$ 726,000","1 (2012)","$ 726,000"
"","Alexander Sulzer","BUF","D","$ 725,000","1 (2012)","$ 725,000"
"","Jhonas Enroth","BUF","G","$ 725,000","1 (2012)","$ 725,000"
"","Mark Eaton","PIT","D","$ 725,000","1 (2012)","$ 725,000"
"","Mikael Backlund","CGY","C","$ 725,000","1 (2012)","$ 725,000"
"","Mike Brown","EDM","RW","$ 725,000","1 (2012)","$ 725,000"
"","Paul Bissonnette","ARI","LW","$ 725,000","1 (2012)","$ 725,000"
"","Jason Zucker","MIN","LW","$ 715,000","1 (2012)","$ 715,000"
"","Bobby Sanguinetti","CAR","D","$ 700,000","1 (2012)","$ 700,000"
"","Cam Barker","VAN","D","$ 700,000","1 (2012)","$ 700,000"
"","Colin McDonald","NYI","RW","$ 700,000","1 (2012)","$ 700,000"
"","Derek Meech","WPG","D","$ 700,000","1 (2012)","$ 700,000"
"","Jay Beagle","WSH","C","$ 700,000","1 (2012)","$ 700,000"
"","Jeff Halpern","MTL","C","$ 700,000","1 (2012)","$ 700,000"
"","Keaton Ellerby","LAK","D","$ 700,000","1 (2012)","$ 700,000"
"","Kevin Westgarth","CAR","RW","$ 700,000","1 (2012)","$ 700,000"
"","Nick Bonino","ANA","C","$ 700,000","1 (2012)","$ 700,000"
"","Scott Gomez","SJS","C","$ 700,000","1 (2012)","$ 700,000"
"","Stu Bickel","NYR","D","$ 700,000","1 (2012)","$ 700,000"
"","Thomas Hickey","NYI","D","$ 700,000","1 (2012)","$ 700,000"
"","Tim Wallace","CAR","RW","$ 700,000","1 (2012)","$ 700,000"
"","Tommy Wingels","SJS","RW","$ 700,000","1 (2012)","$ 700,000"
"","Trevor Lewis","LAK","C","$ 700,000","1 (2012)","$ 700,000"
"","Tyler Toffoli","LAK","C","$ 700,000","1 (2012)","$ 700,000"
"","Brendan Gallagher","MTL","RW","$ 690,000","1 (2012)","$ 690,000"
"","Brenden Dillon","DAL","D","$ 690,000","1 (2012)","$ 690,000"
"","Dmitry Orlov","WSH","D","$ 690,000","1 (2012)","$ 690,000"
"","Carl Hagelin","NYR","LW","$ 687,500","1 (2012)","$ 687,500"
"","Ryan White","MTL","C","$ 687,500","1 (2012)","$ 687,500"
"","Ryan White","EDM","C","$ 687,500","1 (2012)","$ 687,500"
"","Kyle Chipchura","ARI","C","$ 675,000","1 (2012)","$ 675,000"
"","Tim Kennedy","SJS","LW","$ 675,000","1 (2012)","$ 675,000"
"","Tomas Vincour","DAL","C","$ 655,000","1 (2012)","$ 655,000"
"","Aaron Johnson","BOS","D","$ 650,000","1 (2012)","$ 650,000"
"","Adam Hall","TBL","RW","$ 650,000","1 (2012)","$ 650,000"
"","Andre Benoit","OTT","D","$ 650,000","1 (2012)","$ 650,000"
"","Ben Bishop","TBL","G","$ 650,000","1 (2012)","$ 650,000"
"","Chris Porter","STL","C","$ 650,000","1 (2012)","$ 650,000"
"","Colton Gillies","CBJ","LW","$ 650,000","1 (2012)","$ 650,000"
"","Dalton Prout","CBJ","D","$ 650,000","1 (2012)","$ 650,000"
"","Dan Ellis","CAR","G","$ 650,000","1 (2012)","$ 650,000"
"","Dave Dziurzynski","OTT","LW","$ 650,000","1 (2012)","$ 650,000"
"","Davis Drewiske","MTL","D","$ 650,000","1 (2012)","$ 650,000"
"","Erik Condra","OTT","RW","$ 650,000","1 (2012)","$ 650,000"
"","Gabriel Bourque","NSH","LW","$ 650,000","1 (2012)","$ 650,000"
"","Jack Hillen","WSH","D","$ 650,000","1 (2012)","$ 650,000"
"","James Wright","WPG","C","$ 650,000","1 (2012)","$ 650,000"
"","Jonathon Blum","NSH","D","$ 650,000","1 (2012)","$ 650,000"
"","Kaspars Daugavins","BOS","LW","$ 650,000","1 (2012)","$ 650,000"
"","Matt Gilroy","NYR","D","$ 650,000","1 (2012)","$ 650,000"
"","Matt Irwin","SJS","D","$ 650,000","1 (2012)","$ 650,000"
"","Patrick Dwyer","CAR","RW","$ 650,000","1 (2012)","$ 650,000"
"","Rob Klinkhammer","ARI","C","$ 650,000","1 (2012)","$ 650,000"
"","Scott Nichol","STL","C","$ 650,000","1 (2012)","$ 650,000"
"","Andrew Desjardins","SJS","C","$ 640,000","1 (2012)","$ 640,000"
"","Joakim Andersson","DET","C","$ 637,500","1 (2012)","$ 637,500"
"","Frazer McLaren","TOR","LW","$ 632,500","1 (2012)","$ 632,500"
"","Brad Staubitz","ANA","RW","$ 625,000","1 (2012)","$ 625,000"
"","Craig Adams","PIT","RW","$ 625,000","1 (2012)","$ 625,000"
"","Dustin Jeffrey","PIT","C","$ 625,000","1 (2012)","$ 625,000"
"","Jim O`Brien","OTT","C","$ 625,000","1 (2012)","$ 625,000"
"","Radko Gudas","TBL","D","$ 625,000","1 (2012)","$ 625,000"
"","Richard Bachman","DAL","G","$ 625,000","1 (2012)","$ 625,000"
"","Thomas Greiss","SJS","G","$ 625,000","1 (2012)","$ 625,000"
"","Zach Boychuk","CAR","C","$ 625,000","1 (2012)","$ 625,000"
"","Brandon Saad","CHI","LW","$ 617,500","1 (2012)","$ 617,500"
"","Dale Weise","VAN","RW","$ 615,000","1 (2012)","$ 615,000"
"","Tim Jackman","CGY","RW","$ 612,500","1 (2012)","$ 612,500"
"","Brian Strait","NYI","D","$ 605,000","1 (2012)","$ 605,000"
"","Tom Sestito","VAN","LW","$ 605,000","1 (2012)","$ 605,000"
"","Al Montoya","WPG","G","$ 601,000","1 (2012)","$ 601,000"
"","Aaron Palushaj","COL","RW","$ 600,000","1 (2012)","$ 600,000"
"","Aaron Volpatti","WSH","LW","$ 600,000","1 (2012)","$ 600,000"
"","Andrew Ebbett","VAN","C","$ 600,000","1 (2012)","$ 600,000"
"","Antoine Roussel","DAL","LW","$ 600,000","1 (2012)","$ 600,000"
"","Ben Scrivens","TOR","G","$ 600,000","1 (2012)","$ 600,000"
"","Braden Holtby","WSH","G","$ 600,000","1 (2012)","$ 600,000"
"","Brian McGrattan","CGY","RW","$ 600,000","1 (2012)","$ 600,000"
"","Bryan Bickell","CHI","LW","$ 600,000","1 (2012)","$ 600,000"
"","Dana Tyrell","TBL","LW","$ 600,000","1 (2012)","$ 600,000"
"","Drayson Bowman","CAR","LW","$ 600,000","1 (2012)","$ 600,000"
"","Eric Fehr","WSH","RW","$ 600,000","1 (2012)","$ 600,000"
"","Harry Zolnierczyk","ANA","LW","$ 600,000","1 (2012)","$ 600,000"
"","Jamal Mayers","CHI","RW","$ 600,000","1 (2012)","$ 600,000"
"","Jay Pandolfo","BOS","LW","$ 600,000","1 (2012)","$ 600,000"
"","John Scott","BUF","D","$ 600,000","1 (2012)","$ 600,000"
"","Lane MacDermid","DAL","LW","$ 600,000","1 (2012)","$ 600,000"
"","Mark Fraser","TOR","D","$ 600,000","1 (2012)","$ 600,000"
"","Mark Letestu","CBJ","C","$ 600,000","1 (2012)","$ 600,000"
"","Matt Martin","NYI","LW","$ 600,000","1 (2012)","$ 600,000"
"","Radek Martinek","NYI","D","$ 600,000","1 (2012)","$ 600,000"
"","Ryan Hamilton","TOR","LW","$ 600,000","1 (2012)","$ 600,000"
"","Ryan Reaves","STL","RW","$ 600,000","1 (2012)","$ 600,000"
"","Steve Pinizzotto","VAN","C","$ 600,000","1 (2012)","$ 600,000"
"","Tom Pyatt","TBL","C","$ 600,000","1 (2012)","$ 600,000"
"","Tomas Kundratek","WSH","D","$ 600,000","1 (2012)","$ 600,000"
"","Tyson Strachan","FLA","D","$ 600,000","1 (2012)","$ 600,000"
